Log file started: 2022-08-24 11:38:41.563604
2022-08-24 11:38:43 NOTICE:  Continuous- InitialValue: 5.0 InputHigh: 5.0 InputLow: 5.0
2022-08-24 11:38:54 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:55 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:55 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:55 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:56 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:56 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:56 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:57 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:57 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:57 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:57 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:58 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:58 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:58 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:59 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:59 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:38:59 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:00 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:00 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:00 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:01 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:01 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:01 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:01 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:02 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:02 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:02 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:03 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:03 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:03 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:04 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:04 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:04 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:05 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:05 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:05 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:05 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:06 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:06 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:06 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:07 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:07 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:07 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:08 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:08 ERROR:  local variable 'measurementCount' referenced before assignment
2022-08-24 11:39:08 ERROR:  local variable 'measurementCount' referenced before assignment
